"_time","len0 speed1 Šmeralova.IN","len0 speed2 Šmeralova.IN","len0 speed3 Šmeralova.IN","len1 speed1 Šmeralova.IN","len1 speed2 Šmeralova.IN","len1 speed3 Šmeralova.IN","len2 speed1 Šmeralova.IN","len2 speed2 Šmeralova.IN","len2 speed3 Šmeralova.IN","len3 Šmeralova.IN","len0 speed1 Šmeralova3.OUT","len0 speed2 Šmeralova3.OUT","len0 speed3 Šmeralova3.OUT","len1 speed1 Šmeralova3.OUT","len1 speed2 Šmeralova3.OUT","len1 speed3 Šmeralova3.OUT","len2 speed1 Šmeralova3.OUT","len2 speed2 Šmeralova3.OUT","len2 speed3 Šmeralova3.OUT","len3 Šmeralova3.OUT","len0 speed1 Šmeralova.OUT","len0 speed2 Šmeralova.OUT","len0 speed3 Šmeralova.OUT","len1 speed1 Šmeralova.OUT","len1 speed2 Šmeralova.OUT","len1 speed3 Šmeralova.OUT","len2 speed1 Šmeralova.OUT","len2 speed2 Šmeralova.OUT","len2 speed3 Šmeralova.OUT","len3 Šmeralova.OUT","len0 speed1 Šmeralova2.OUT","len0 speed2 Šmeralova2.OUT","len0 speed3 Šmeralova2.OUT","len1 speed1 Šmeralova2.OUT","len1 speed2 Šmeralova2.OUT","len1 speed3 Šmeralova2.OUT","len2 speed1 Šmeralova2.OUT","len2 speed2 Šmeralova2.OUT","len2 speed3 Šmeralova2.OUT","len3 Šmeralova2.OUT"
"10/21/2024, 01:00:00 AM",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,
"10/21/2024, 02:00:00 AM",2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"10/21/2024, 03:00:00 AM",2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
"10/21/2024, 04:00:00 AM",0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,
"10/21/2024, 05:00:00 AM",6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,6,0,0,2,0,0,0,0,0,1
"10/21/2024, 06:00:00 AM",11,0,0,0,0,0,0,0,0,5,,,,,,,,,,,2,0,0,0,0,0,0,0,0,8,7,0,0,1,0,0,0,0,0,2
"10/21/2024, 07:00:00 AM",45,0,0,1,0,0,0,0,0,13,5,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,10,10,0,0,1,0,0,0,0,0,2
"10/21/2024, 08:00:00 AM",154,1,0,13,1,0,0,0,0,20,6,0,0,2,0,0,1,0,0,7,21,0,0,3,0,0,1,0,0,35,19,0,0,2,0,0,0,0,0,1
"10/21/2024, 09:00:00 AM",134,1,0,10,0,0,1,0,0,8,4,0,0,1,0,1,2,0,0,7,30,0,0,3,0,0,0,0,0,21,16,0,0,4,0,0,0,0,0,2
"10/21/2024, 10:00:00 AM",76,4,0,11,0,0,0,0,0,11,4,0,0,4,0,0,0,1,0,5,25,0,0,4,0,0,0,0,0,18,21,1,0,3,0,0,0,0,0,2
"10/21/2024, 11:00:00 AM",48,3,0,6,0,0,0,0,0,5,6,0,0,3,1,0,0,0,0,2,16,0,0,0,0,0,0,0,0,9,15,0,0,1,0,0,0,0,0,3
"10/21/2024, 12:00:00 PM",58,1,0,13,1,0,0,0,0,16,4,0,0,3,0,0,0,0,0,4,32,0,0,4,0,0,0,0,0,15,22,0,0,4,0,0,0,0,0,3
"10/21/2024, 01:00:00 PM",68,1,0,8,1,0,0,0,0,8,2,0,0,3,0,1,2,0,0,9,38,0,0,3,0,0,0,0,0,12,25,0,0,6,0,0,0,0,0,4
"10/21/2024, 02:00:00 PM",54,3,0,3,0,0,2,0,0,6,5,0,0,6,0,0,0,0,0,9,31,0,0,3,0,0,0,0,0,11,15,1,0,4,0,0,0,0,0,2
"10/21/2024, 03:00:00 PM",58,1,0,4,0,0,1,0,0,6,7,0,0,3,0,0,2,2,0,10,55,0,0,2,0,0,0,0,0,11,15,0,0,2,0,0,0,0,0,1
"10/21/2024, 04:00:00 PM",51,0,0,2,0,0,0,0,0,6,10,0,0,3,2,0,3,0,0,6,54,0,0,5,0,0,0,0,0,12,26,1,0,3,0,0,0,0,0,1
"10/21/2024, 05:00:00 PM",51,0,0,1,0,0,0,0,0,2,5,0,0,10,0,0,1,0,0,6,49,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,2
"10/21/2024, 06:00:00 PM",45,1,0,3,0,0,0,0,0,8,3,0,0,1,1,0,1,0,0,4,34,1,0,2,0,0,0,0,0,12,20,0,0,1,0,0,0,0,0,1
"10/21/2024, 07:00:00 PM",46,1,0,2,0,0,0,0,0,9,2,0,0,2,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,2
"10/21/2024, 08:00:00 PM",26,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,23,0,0,2,0,0,0,0,0,4,14,0,0,1,0,0,0,0,0,2
"10/21/2024, 09:00:00 PM",23,1,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,2
"10/21/2024, 10:00:00 PM",9,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2
"10/21/2024, 11:00:00 PM",4,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
"10/22/2024, 12:00:00 AM",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1
"10/22/2024, 01:00:00 AM",3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
